N,n,seed,edge_source,resolution,t,P0,d_s
4,0.4,56791,all,1.0,133,0.0,1.2449154269120093
4,0.4,56791,all,1.0,134,0.11165,-0.0
4,0.4,56791,all,1.0,135,0.0,3.242788655481832
4,0.4,56791,all,1.0,136,0.109,-0.0
4,0.4,56791,all,1.0,137,0.0,0.4406082218028487
4,0.4,56791,all,1.0,138,0.10865,-0.0
4,0.4,56791,all,1.0,139,0.0,5.679489924913656
4,0.4,56791,all,1.0,140,0.1043,-0.0
4,0.4,56791,all,1.0,141,0.0,-5.955736251100721
4,0.4,56791,all,1.0,142,0.1088,-0.0
4,0.4,56791,all,1.0,143,0.0,3.998331367088047
4,0.4,56791,all,1.0,144,0.1058,-0.0
4,0.4,56791,all,1.0,145,0.0,0.6180351815330363
4,0.4,56791,all,1.0,146,0.10535,-0.0
4,0.4,56791,all,1.0,147,0.0,-2.284446809016789
4,0.4,56791,all,1.0,148,0.107,-0.0
4,0.4,56791,all,1.0,149,0.0,5.749138425383512
4,0.4,56791,all,1.0,150,0.10295,-0.0
4,0.4,56791,all,1.0,151,0.0,-1.7498732867165285
4,0.4,56791,all,1.0,152,0.10415,-0.0
4,0.4,56791,all,1.0,153,0.0,-1.9704260783231773
4,0.4,56791,all,1.0,154,0.1055,-0.0
4,0.4,56791,all,1.0,155,0.0,1.996184010797063
4,0.4,56791,all,1.0,156,0.10415,-0.0
4,0.4,56791,all,1.0,157,0.0,-2.3935347154125033
4,0.4,56791,all,1.0,158,0.10575,-0.0
4,0.4,56791,all,1.0,159,0.0,-2.461663441463139
4,0.4,56791,all,1.0,160,0.1074,-0.0
4,0.4,56791,all,1.0,161,0.0,0.9019515443437611
4,0.4,56791,all,1.0,162,0.1068,-0.0
4,0.4,56791,all,1.0,163,0.0,1.2255543073966193
4,0.4,56791,all,1.0,164,0.106,-0.0
4,0.4,56791,all,1.0,165,0.0,3.7787448406592765
4,0.4,56791,all,1.0,166,0.1036,-0.0
4,0.4,56791,all,1.0,167,0.0,3.6668514791931104
4,0.4,56791,all,1.0,168,0.10135,-0.0
4,0.4,56791,all,1.0,169,0.0,-9.325835826480347
4,0.4,56791,all,1.0,170,0.1071,-0.0
4,0.4,56791,all,1.0,171,0.0,8.008060956065595
4,0.4,56791,all,1.0,172,0.1022,-0.0
4,0.4,56791,all,1.0,173,0.0,1.6156241241256344
4,0.4,56791,all,1.0,174,0.10125,-0.0
4,0.4,56791,all,1.0,175,0.0,0.43262839147041193
4,0.4,56791,all,1.0,176,0.101,-0.0
4,0.4,56791,all,1.0,177,0.0,3.004533436698454
4,0.4,56791,all,1.0,178,0.0993,-0.0
4,0.4,56791,all,1.0,179,0.0,-4.274785555737093
4,0.4,56791,all,1.0,180,0.1017,-0.0
4,0.4,56791,all,1.0,181,0.0,0.44547932496569054
4,0.4,56791,all,1.0,182,0.10145,-0.0
4,0.4,56791,all,1.0,183,0.0,4.288859673263295
4,0.4,56791,all,1.0,184,0.0991,-0.0
4,0.4,56791,all,1.0,185,0.0,-5.6983582402698305
4,0.4,56791,all,1.0,186,0.1022,-0.0
4,0.4,56791,all,1.0,187,0.0,2.2086660396771864
