N,n,seed,edge_source,resolution,mode,t,P0,d_s
8,0.8,56792,core,1.0,exact,122,0.11435838260421484,-2.5154322104929587
8,0.8,56792,core,1.0,exact,123,6.874462406360104e-15,0.58640962459448
8,0.8,56792,core,1.0,exact,124,0.11381445803298557,-2.2453886688371036
8,0.8,56792,core,1.0,exact,125,7.00008163245803e-15,0.5832544077886493
8,0.8,56792,core,1.0,exact,126,0.11328462153427968,-2.3346588510562336
8,0.8,56792,core,1.0,exact,127,7.130998297635734e-15,0.5800479490721736
8,0.8,56792,core,1.0,exact,128,0.11276838505846025,-2.508716976974009
8,0.8,56792,core,1.0,exact,129,7.272142762328966e-15,0.5767891224873856
8,0.8,56792,core,1.0,exact,130,0.11226528677206943,-2.4116852038789567
8,0.8,56792,core,1.0,exact,131,7.408313229352024e-15,0.5734770411226768
8,0.8,56792,core,1.0,exact,132,0.11177488910923178,-2.404867633257437
8,0.8,56792,core,1.0,exact,133,7.544522639555086e-15,0.5701110494343931
8,0.8,56792,core,1.0,exact,134,0.1112967769907804,-2.3979879113200906
8,0.8,56792,core,1.0,exact,135,7.680752976461887e-15,0.5666907147775015
8,0.8,56792,core,1.0,exact,136,0.11083055619548775,-2.3911860144143824
8,0.8,56792,core,1.0,exact,137,7.816994558647818e-15,0.5632158182808795
8,0.8,56792,core,1.0,exact,138,0.11037585186936708,-2.3845312247746016
8,0.8,56792,core,1.0,exact,139,7.953242183653692e-15,0.5596863451956597
8,0.8,56792,core,1.0,exact,140,0.10993230716041423,-2.4653628525311753
8,0.8,56792,core,1.0,exact,141,8.09453952415354e-15,0.5561024748371082
8,0.8,56792,core,1.0,exact,142,0.10949958196740349,-2.4573392001330014
8,0.8,56792,core,1.0,exact,143,8.235838609585286e-15,0.5524645702287055
8,0.8,56792,core,1.0,exact,144,0.10907735179246103,-2.4495750047003835
8,0.8,56792,core,1.0,exact,145,8.377138632682443e-15,0.5487731675466393
8,0.8,56792,core,1.0,exact,146,0.10866530668812878,-2.268977687402964
8,0.8,56792,core,1.0,exact,147,8.508346223060717e-15,0.5450289654563714
8,0.8,56792,core,1.0,exact,148,0.10826315029051554,-2.523980724829358
8,0.8,56792,core,1.0,exact,149,8.654693489081627e-15,0.5412328144198082
8,0.8,56792,core,1.0,exact,150,0.1078705989309256,-2.4291639157215275
8,0.8,56792,core,1.0,exact,151,8.795994432306488e-15,0.5373857060461977
8,0.8,56792,core,1.0,exact,152,0.10748738081906524,-2.4223254767468614
8,0.8,56792,core,1.0,exact,153,8.93729545371673e-15,0.5334887625477231
8,0.8,56792,core,1.0,exact,154,0.10711323529156827,-2.4157009996901824
8,0.8,56792,core,1.0,exact,155,9.078596517141063e-15,0.5295432263553046
8,0.8,56792,core,1.0,exact,156,0.10674791212015652,-2.409280839010249
8,0.8,56792,core,1.0,exact,157,9.2198976031423e-15,0.525550449942671
8,0.8,56792,core,1.0,exact,158,0.10639117087427115,-2.3178587844836143
8,0.8,56792,core,1.0,exact,159,9.356152232981824e-15,0.5215118858975392
8,0.8,56792,core,1.0,exact,160,0.10604278033347901,-2.2281804066883937
8,0.8,56792,core,1.0,exact,161,9.487360401046932e-15,0.5174290772740109
8,0.8,56792,core,1.0,exact,162,0.10570251794538267,-2.479826831592665
8,0.8,56792,core,1.0,exact,163,9.633707977496554e-15,0.5133036482560792
8,0.8,56792,core,1.0,exact,164,0.10537016932514484,-2.4725921884743465
8,0.8,56792,core,1.0,exact,165,9.780055555828705e-15,0.5091372951509753
8,0.8,56792,core,1.0,exact,166,0.10504552779308732,-2.381159545775875
8,0.8,56792,core,1.0,exact,167,9.921356666878713e-15,0.5049317777339274
8,0.8,56792,core,1.0,exact,168,0.10472839394713758,-2.375769098905187
8,0.8,56792,core,1.0,exact,169,1.0062657778472322e-14,0.5006889109560726
8,0.8,56792,core,1.0,exact,170,0.10441857526718276,-2.3705289918339254
8,0.8,56792,core,1.0,exact,171,1.0203958890358045e-14,0.4964105570249049
8,0.8,56792,core,1.0,exact,172,0.10411588574865004,-2.365433023121498
8,0.8,56792,core,1.0,exact,173,1.0345260002400737e-14,0.49209861786272774
8,0.8,56792,core,1.0,exact,174,0.10382014556286795,-2.2767217349294264
8,0.8,56792,core,1.0,exact,175,1.048151464623403e-14,0.4877550279477265
8,0.8,56792,core,1.0,exact,176,0.1035311807419779,-2.44036664969426
8,0.8,56792,core,1.0,exact,177,1.0627862226700152e-14,0.4833817475367582
8,0.8,56792,core,1.0,exact,178,0.10324882288635875,-2.434343856827978
8,0.8,56792,core,1.0,exact,179,1.0774209807190632e-14,0.4789807562672492
8,0.8,56792,core,1.0,exact,180,0.10297290889270656,-2.2620497837503892
8,0.8,56792,core,1.0,exact,181,1.0910464451106697e-14,0.4745540471356695
8,0.8,56792,core,1.0,exact,182,0.10270328070107082,-2.341920511501932
8,0.8,56792,core,1.0,exact,183,1.1051765563323548e-14,0.47010362084442836
